S.No.,House,Significance of House,Detailed Significance
0201,1th House,Self,"Self, appearance, personality, and overall health."
0202,2th House,"Family, Money","Family, wealth, speech, and values."
0203,3th House,"Siblings, Courage","Siblings, short journeys, courage, and communication."
0204,4th House,"Mother, Home","Mother, home, property, and basic education."
0205,5th House,"Children, Education","Children, creativity, education, and past life merit."
0206,6th House,"Health, Enemies","Health, debts, enemies, and daily work."
0207,7th House,"Marriage, Partnerships","Marriage, partnerships, business, and relationships."
0208,8th House,"Death, Inheritance","Longevity, inheritance, secrets, and transformation."
0209,9th House,"Religion, Luck","Religion, long journeys, higher education, and luck."
0210,10th House,"Career, Profession","Career, profession, status, and public life."
0211,11th House,"Friends, Gains","Friends, social circles, gains, and aspirations."
0212,12th House,"Losses, Expenditure","Losses, expenses, isolation, and spirituality."
